retriever,embedding_model,chunking,recall@1,recall@3,recall@5,recall@10,ndcg@1,ndcg@3,ndcg@5,ndcg@10,mrr,primary_k,n_queries
hybrid,bge-small-en-v1.5,whole_document,0.36666666666666664,0.33888888888888885,0.31166666666666665,0.30333333333333334,0.36666666666666664,0.3460893439498104,0.32602259537258804,0.3158109332180804,0.5369113525363526,10,60
dense,bge-small-en-v1.5,whole_document,0.4166666666666667,0.3055555555555555,0.2783333333333333,0.30166666666666675,0.4166666666666667,0.3251409936060684,0.3018879395530942,0.31135835384667665,0.5568650793650795,10,60
bm25,-,whole_document,0.45,0.3388888888888888,0.35500000000000004,0.30166666666666675,0.45,0.361546454337126,0.3671079538131846,0.32690754284295387,0.591966870899867,10,60
hybrid,all-MiniLM-L6-v2,whole_document,0.4,0.3222222222222222,0.29499999999999993,0.29500000000000004,0.4,0.3370584755700802,0.314379080620235,0.3093593309675199,0.5465956833786194,10,60
dense,all-MiniLM-L6-v2,whole_document,0.4,0.32222222222222213,0.2883333333333333,0.29000000000000004,0.4,0.34320273036552884,0.3139507518352501,0.3081622444118891,0.5727526772169629,10,60
bm25,-,fixed_size,0.4666666666666667,0.3777777777777777,0.3483333333333333,0.28833333333333333,0.4666666666666667,0.39487978767045945,0.37003175070812866,0.32177369425859986,0.604300628683621,10,60
hybrid,bge-small-en-v1.5,fixed_size,0.38333333333333336,0.2944444444444444,0.2683333333333333,0.28500000000000003,0.38333333333333336,0.3146185817348505,0.2911054767715536,0.2973138651448234,0.5271893266586662,10,60
bm25,-,sentence_window,0.4166666666666667,0.3166666666666666,0.30166666666666664,0.2783333333333333,0.4166666666666667,0.3391065605018964,0.3226672611046154,0.2998460273818938,0.5733506874156207,10,60
hybrid,all-MiniLM-L6-v2,fixed_size,0.43333333333333335,0.28333333333333327,0.26499999999999996,0.27666666666666667,0.43333333333333335,0.3185292377850401,0.2968617267238909,0.29679849247437967,0.5599858219135148,10,60
dense,bge-small-en-v1.5,fixed_size,0.4,0.3055555555555555,0.265,0.2666666666666667,0.4,0.3253265074195112,0.29178868291513615,0.2839357284037049,0.5396994450282145,10,60
dense,all-MiniLM-L6-v2,fixed_size,0.4666666666666667,0.32222222222222213,0.285,0.26666666666666666,0.4666666666666667,0.35474918470265493,0.31961348750163815,0.29543283725251673,0.5884750018240915,10,60
dense,all-MiniLM-L6-v2,sentence_window,0.3,0.25,0.255,0.26666666666666666,0.3,0.25968388321875263,0.2611406003832444,0.26860942368584584,0.48062230897757213,10,60
dense,bge-small-en-v1.5,sentence_window,0.25,0.21666666666666667,0.225,0.26166666666666666,0.25,0.22551202123295402,0.22963571260822865,0.2548463408635492,0.44059031122330355,10,60
hybrid,all-MiniLM-L6-v2,sentence_window,0.3333333333333333,0.27777777777777773,0.25166666666666665,0.26,0.3333333333333333,0.29115464543371267,0.269278521513116,0.2700390561805926,0.5016622887397783,10,60
hybrid,bge-small-en-v1.5,sentence_window,0.31666666666666665,0.25555555555555554,0.25833333333333336,0.2533333333333333,0.31666666666666665,0.2664811528532238,0.2665486101805215,0.2604265423457715,0.4789240424430642,10,60
